# litman journal full-name -> ISO4 abbreviation table.
# Source: JabRef abbrv.jabref.org (CC0 1.0). Merged: ACS + life-science
# lists, de-duplicated by normalized full name (ACS precedence).
# Columns: "Full journal name","ISO4 abbreviation". Loader skips # lines.
"AACN Clinical Issues","AACN Clin. Issues"
"Acta Chirurgica Scandinavica. Supplementum","Acta Chir. Scand. Suppl."
"Acta Cientifica Venezolana","Acta Cient. Venez."
"Acta Clinica Belgica","Acta Clin. Belg."
"Acta Clinica Belgica. Supplementum","Acta Clin. Belg. Suppl."
"Acta Clinica Odontologica","Acta Clin. Odontol."
"Acta Crystallographica","Acta Crystallogr."
"Acta Crystallographica, Section A: Foundations and Advances","Acta Crystallogr., Sect. A: Found. Adv."
"Acta Crystallographica, Section B: Structural Science, Crystal Engineering and Materials","Acta Crystallogr., Sect. B: Struct. Sci., Cryst. Eng. Mater."
"Acta Crystallographica, Section C: Structural Chemistry","Acta Crystallogr., Sect. C: Struct. Chem."
"Acta Crystallographica, Section D: Biological Crystallography","Acta Crystallogr., Sect. D: Biol. Crystallogr."
"Acta Crystallographica, Section E: Crystallographic Communications","Acta Crystallogr., Sect. E: Crystallogr. Commun."
"Acta Crystallographica, Section F: Structural Biology Communications","Acta Crystallogr., Sect. F: Struct. Biol. Commun."
"Acta Crystallographica. Section A, Crystal Physics, Diffraction, Theoretical and General Crystallography","Acta Crystallogr. A"
"Acta Crystallographica. Section A, Foundations of Crystallography","Acta Crystallogr. A"
"Acta Crystallographica. Section B, Structural Crystallography and Crystal Chemistry","Acta Crystallogr. B"
"Acta Crystallographica. Section B, Structural Science","Acta Crystallogr. B"
"Acta Crystallographica. Section C, Crystal Structure Communications","Acta Crystallogr. C"
"Acta Crystallographica. Section D, Biological Crystallography","Acta Crystallogr. D Biol. Crystallogr."
"Acta Crystallographica. Section F, Structural Biology and Crystallization Communications","Acta Crystallograph. Sect. F Struct. Biol. Cryst. Commun."
"Acta Cytologica","Acta Cytol."
"Acta de Odontologia Pediatrica","Acta Odontol. Pediatr."
"Acta Dermato-Venereologica","Acta Derm. Venereol."
"Acta Dermato-Venereologica. Supplementum","Acta Derm. Venereol. Suppl. (Stockh.)"
"Acta Dermatologica Kyoto. English Edition","Acta Dermatol. Kyoto Engl. Ed."
"Acta Diabetologica","Acta Diabetol."
"Acta Diabetologica Latina","Acta Diabetol. Lat."
"Acta Embryologiae et Morphologiae Experimentalis","Acta Embryol. Morphol. Exp."
"Acta Embryologiae Experimentalis","Acta Embryol. Exp. (Palermo)"
"Acta Endocrinologica","Acta Endocrinol. (Copenh.)"
"Acta Endocrinologica. Supplementum","Acta Endocrinol. Suppl. (Copenh.)"
"Acta Europaea Fertilitatis","Acta Eur. Fertil."
"Acta Gastroenterologica Belgica","Acta Gastroenterol. Belg."
"Acta Gastroenterologica Latinoamericana","Acta Gastroenterol. Latinoam."
"Acta Genetica et Statistica Medica","Acta Genet. Stat. Med."
"Acta Geneticae Medicae et Gemellologiae","Acta Genet. Med. Gemellol. (Roma)"
"Acta Gerontologica","Acta Gerontol. (Milano)"
"Acta Ginecologica","Acta Ginecol. (Madr.)"
"Acta Gynaecologica et Obstetrica Hispano-Lusitana","Acta Gynaecol. Obstet. Hisp. Lusit."
"Acta Haematologica","Acta Haematol."
"Acta Haematologica Polonica","Acta Haematol. Pol."
"Acta Hepato-Gastroenterologica","Acta Hepatogastroenterol. (Stuttg.)"
"Acta Hepato-Splenologica","Acta Hepatosplenol."
"Acta Histochemica","Acta Histochem."
"Acta Histochemica. Supplementband","Acta Histochem. Suppl."
"Acta Historica Scientiarum Naturalium et Medicinalium","Acta Hist. Sci. Nat. Med."
"Acta Hospitalia","Acta Hosp."
"Acta Iberica Radiologica-Cancerologica","Acta Iber. Radiol. Cancerol."
"Acta Isotopica","Acta Isot. (Padova)"
"Acta Leidensia","Acta Leiden."
"Acta Leprologica","Acta Leprol."
"Acta Materialia","Acta Mater."
"Acta Medica (Hradec Kralove)","Acta Medica (Hradec Kralove)"
"Acta Medica (Hradec Kralove). Supplementum","Acta Medica (Hradec Kralove) Suppl."
"Acta Medica Academiae Scientiarum Hungaricae","Acta Med. Acad. Sci. Hung."
"Acta Medica Austriaca","Acta Med. Austriaca"
"Acta Medica Austriaca. Supplement","Acta Med. Austriaca. Suppl."
"Acta Medica Croatica","Acta Med. Croatica"
"Acta Medica et Biologica","Acta Med. Biol. (Niigata)"
"Acta Medica Hungarica","Acta Med. Hung."
"Acta Medica Iranica","Acta Med. Iran."
"Acta Medica Italica di Medicina Tropicale e Subtropicale e di Gastroenterologia","Acta Med. Ital. Med. Trop. Subtrop. Gastroenterol."
"Acta Medica Iugoslavica","Acta Med. Iugosl."
"Acta Medica Nagasakiensia","Acta Med. Nagasaki."
"Acta Medica Okayama","Acta Med. Okayama"
"Acta Medica Philippina","Acta Med. Philipp."
"Acta Medica Polona","Acta Med. Pol."
"Acta Medica Portuguesa","Acta Med. Port."
"Acta Medica Scandinavica","Acta Med. Scand."
"Acta Medica Scandinavica. Supplementum","Acta Med. Scand. Suppl."
"Acta Medica Veterinaria","Acta Med. Vet. (Napoli)"
"Acta Medicinae Legalis et Socialis","Acta Med. Leg. Soc. (Liege)"
"Acta Microbiologica Academiae Scientiarum Hungaricae","Acta Microbiol. Acad. Sci. Hung."
"Acta Microbiologica Bulgarica","Acta Microbiol. Bulg."
"Acta Microbiologica et Immunologica Hungarica","Acta Microbiol. Immunol. Hung."
"Acta Microbiologica Hungarica","Acta Microbiol. Hung."
"Acta Microbiologica Polonica","Acta Microbiol. Pol."
"Acta Microbiologica Polonica. Series A, Microbiologia Generalis","Acta Microbiol. Pol. A"
"Acta Microbiologica Polonica. Series B, Microbiologia Applicata","Acta Microbiol. Pol. B"
"Acta Microbiologica, Virologica et Immunologica","Acta Microbiol. Virol. Immunol. (Sofiia)"
"Acta Morphologica Academiae Scientiarum Hungaricae","Acta Morphol. Acad. Sci. Hung."
"Acta Morphologica Hungarica","Acta Morphol. Hung."
"Acta Morphologica Neerlando-Scandinavica","Acta Morphol. Neerl.-Scand."
"Acta Médica Costarricense","Acta méd. costarric."
"Acta Neurobiologiae Experimentalis","Acta Neurobiol. Exp. (Warsz.)"
"Acta Neurochirurgica","Acta Neurochir. (Wien)"
"Acta Neurochirurgica. Supplementum","Acta Neurochir. Suppl. (Wien)"
"Acta Neurologica","Acta Neurol. (Napoli)"
"Acta Neurologica Belgica","Acta Neurol. Belg."
"Acta Neurologica et Psychiatrica Belgica","Acta Neurol. Psychiatr. Belg."
"Acta Neurologica Latinoamericana","Acta Neurol. Latinoam."
"Acta Neurologica Scandinavica","Acta Neurol. Scand."
"Acta Neurologica Scandinavica. Supplementum","Acta Neurol. Scand. Suppl."
"Acta Neurologica. Quaderni","Acta Neurol. [Quad.] (Napoli)"
"Acta Neuropathologica","Acta Neuropathol. (Berl.)"
"Acta Neuropathologica. Supplement","Acta Neuropathol. Suppl. (Berl.)"
"Acta Neurovegetativa","Acta Neuroveg. (Wien)"
"Acta Obstetrica et Gynaecologica Japonica","Acta Obstet. Gynaecol. Jpn."
"Acta Obstetrica y Ginecologica Hispano-Lusitana","Acta Obstet. Ginecol. Hisp. Lusit."
"Acta Obstetrica y Ginecologica Hispano-Lusitana. Suplemento","Acta Obstet. Ginecol. Hisp. Lusit. Suppl."
"Acta Obstetricia et Gynecologica Scandinavica","Acta Obstet. Gynecol. Scand."
"Acta Obstetricia et Gynecologica Scandinavica. Supplement","Acta Obstet. Gynecol. Scand. Suppl."
"Acta Odontologica Latinoamericana","Acta Odontol. Latinoam."
"Acta Odontologica Scandinavica","Acta Odontol. Scand."
"Acta Odontologica Scandinavica. Supplementum","Acta Odontol. Scand. Suppl."
"Acta Odontologica Venezolana","Acta Odontol. Venez."
"Acta Oncologica","Acta Oncol."
"Acta Ophthalmologica","Acta Ophthalmol. (Copenh.)"
"Acta Ophthalmologica Scandinavica","Acta Ophthalmol. Scand."
"Acta Ophthalmologica Scandinavica. Supplement","Acta Ophthalmol. Scand. Suppl."
"Acta Ophthalmologica. Supplement","Acta Ophthalmol. Suppl."
"Acta Ophthalmologica. Supplementum","Acta Ophthalmol. Suppl."
"Acta Orthopaedica","Acta Orthop."
"Acta Orthopaedica Belgica","Acta Orthop. Belg."
"Acta Orthopaedica Scandinavica","Acta Orthop. Scand."
"Acta Orthopaedica Scandinavica. Supplementum","Acta Orthop. Scand. Suppl."
"Acta Orthopaedica. Supplementum","Acta Orthop. Suppl."
"Acta Oto-Laryngologica","Acta Otolaryngol. (Stockh.)"
"Acta Oto-Laryngologica. Supplement","Acta Otolaryngol. Suppl. (Stockh.)"
"Acta Oto-Rhino-Laryngologica Belgica","Acta Otorhinolaryngol. Belg."
"Acta Oto-Rino-Laringologica Ibero-Americana","Acta Otorinolaryngol. Iber. Am."
"Acta Otorhinolaryngologica Italica","Acta Otorhinolaryngol. Ital."
"Acta Otorrinolaringologica Espanola","Acta Otorrinolaringol. Esp."
"Acta Paediatrica","Acta Paediatr."
"Acta Paediatrica Academiae Scientiarum Hungaricae","Acta Paediatr. Acad. Sci. Hung."
"Acta Paediatrica Belgica","Acta Paediatr. Belg."
"Acta Paediatrica Hungarica","Acta Paediatr. Hung."
"Acta Paediatrica Japonica","Acta Paediatr. Jpn."
"Acta Paediatrica Scandinavica","Acta Paediatr. Scand."
"Acta Paediatrica Scandinavica. Supplement","Acta Paediatr. Scand. Suppl."
"Acta Paediatrica Taiwanica","Acta Paediatr. Taiwan."
"Acta Paediatrica. Supplement","Acta Paediatr. Suppl."
"Acta Paedopsychiatrica","Acta Paedopsychiatr."
"Acta Pathologica et Microbiologica Scandinavica","Acta Pathol. Microbiol. Scand."
"Acta Pathologica et Microbiologica Scandinavica. Section A, Pathology","Acta Pathol. Microbiol. Scand. [A]"
"Acta Pathologica et Microbiologica Scandinavica. Section B, Microbiology","Acta Pathol. Microbiol. Scand. [B]"
"Acta Pathologica et Microbiologica Scandinavica. Section B, Microbiology and Immunology","Acta Pathol. Microbiol. Scand. [B] Microbiol. Immunol."
"Acta Pathologica et Microbiologica Scandinavica. Section C, Immunology","Acta Pathol. Microbiol. Scand. [C]"
"Acta Pathologica et Microbiologica Scandinavica. Supplement","Acta Pathol. Microbiol. Scand. Suppl."
"Acta Pathologica Japonica","Acta Pathol. Jpn."
"Acta Pathologica, Microbiologica, et Immunologica Scandinavica. Section A, Pathology","Acta Pathol. Microbiol. Immunol. Scand. [A]"
"Acta Pathologica, Microbiologica, et Immunologica Scandinavica. Section B, Microbiology","Acta Pathol. Microbiol. Immunol. Scand. [B]"
"Acta Pathologica, Microbiologica, et Immunologica Scandinavica. Section C, Immunology","Acta Pathol. Microbiol. Immunol. Scand. [C]"
"Acta Pathologica, Microbiologica, et Immunologica Scandinavica. Supplement","Acta Pathol. Microbiol. Immunol. Scand. Suppl."
"Acta Pediatrica Espanola","Acta Pediatr. Esp."
"Acta Pharmaceutica (Zagreb, Croatia)","Acta Pharm. (Zagreb, Croatia)"
"Acta Pharmaceutica Hungarica","Acta Pharm. Hung."
"Acta Pharmaceutica Nordica","Acta Pharm. Nord."
"Acta Pharmaceutica Suecica","Acta Pharm. Suec."
"Acta Pharmacologica et Toxicologica","Acta Pharmacol. Toxicol. (Copenh.)"
"Acta Pharmacologica Sinica","Acta Pharmacol. Sin."
"Acta Physica Polonica A","Acta Phys. Pol. A"
"Acta Physiologica","Acta Physiol."
"Acta Physiologica Academiae Scientiarum Hungaricae","Acta Physiol. Acad. Sci. Hung."
"Acta Physiologica et Pharmacologica Bulgarica","Acta Physiol. Pharmacol. Bulg."
"Acta Physiologica et Pharmacologica Latinoamericana","Acta Physiol. Pharmacol. Latinoam."
"Acta Physiologica et Pharmacologica Neerlandica","Acta Physiol. Pharmacol. Neerl."
"Acta Physiologica Hungarica","Acta Physiol. Hung."
"Acta Physiologica Latinoamericana","Acta Physiol. Lat. Am."
"Acta Physiologica Polonica","Acta Physiol. Pol."
"Acta Physiologica Scandinavica","Acta Physiol. Scand."
"Acta Physiologica Scandinavica. Supplementum","Acta Physiol. Scand. Suppl."
"Acta Physiologica, Pharmacologica et Therapeutica Latinoamericana","Acta Physiol. Pharmacol. Ther. Latinoam."
"Acta Poloniae Pharmaceutica","Acta Pol. Pharm."
"Acta Psiquiatrica y Psicologica de America Latina","Acta Psiquiatr. Psicol. Am. Lat."
"Acta Psychiatrica Belgica","Acta Psychiatr. Belg."
"Acta Psychiatrica Scandinavica","Acta Psychiatr. Scand."
"Acta Psychiatrica Scandinavica. Supplementum","Acta Psychiatr. Scand. Suppl."
"Acta Psychologica","Acta Psychol. (Amst.)"
"Acta Radiologica","Acta Radiol."
"Acta Radiologica. Diagnosis","Acta Radiol. Diagn. (Stockh.)"
"Acta Radiologica. Oncology","Acta Radiol. Oncol."
"Acta Radiologica. Oncology, Radiation, Physics, Biology","Acta Radiol. Oncol. Radiat. Phys. Biol."
"Acta Radiologica. Supplementum","Acta Radiol. Suppl."
"Acta Radiologica. Therapy, Physics, Biology","Acta Radiol. Ther. Phys. Biol."
"Acta Rheumatologica Scandinavica","Acta Rheumatol. Scand."
"Acta Rhumatologica","Acta Rhumatol."
"Acta Rhumatologica Belgica","Acta Rhumatol. Belg."
"Acta Scholae Medicinalis Universitatis in Kioto","Acta Sch. Med. Univ. Kioto"
"Acta Societatis Medicorum Upsaliensis","Acta Soc. Med. Ups."
"Acta Socio-Medica Scandinavica","Acta Sociomed. Scand."
"Acta Socio-Medica Scandinavica. Supplement","Acta Sociomed. Scand. Suppl."
"Acta Stomatologica Belgica","Acta Stomatol. Belg."
"Acta Stomatologica Croatica","Acta Stomatol. Croat."
"Acta Stomatologica Internationalia","Acta Stomatol. Int."
"Acta Theriologica","Acta Theriol. (Warsz.)"
"Acta Tropica","Acta Trop."
"Acta Tropica. Supplement","Acta Trop. Suppl."
"Acta Tuberculosea et Pneumologica Belgica","Acta Tuberc. Pneumol. Belg."
"Acta Tuberculosea et Pneumologica Scandinavica","Acta Tuberc. Pneumol. Scand."
"Acta Tuberculosea Japonica","Acta Tuberc. Jpn."
"Acta Universitatis Carolinae. Medica","Acta Univ. Carol. [Med.] (Praha)"
"Acta Universitatis Carolinae. Medica. Monographia","Acta Univ. Carol. Med. Monogr."
"Acta Universitatis Palackianae Olomucensis Facultatis Medicae","Acta Univ. Palacki. Olomuc. Fac. Med."
"Acta Urologica Belgica","Acta Urol. Belg."
"Acta Veterinaria","Acta Vet. (Beogr.)"
"Acta Veterinaria Academiae Scientiarum Hungaricae","Acta Vet. Acad. Sci. Hung."
"Acta Veterinaria Hungarica","Acta Vet. Hung."
"Acta Veterinaria Scandinavica","Acta Vet. Scand."
"Acta Veterinaria Scandinavica. Supplement","Acta Vet. Scand. Suppl."
"Acta Virologica","Acta Virol."
"Acta Vitaminologica","Acta Vitaminol."
"Acta Vitaminologica et Enzymologica","Acta Vitaminol. Enzymol."
"Acta Zoologica et Pathologica Antverpiensia","Acta Zool. Pathol. Antverp."
"Actas Dermo-Sifiliograficas","Actas Dermosifiliogr."
"Actas Espanolas de Psiquiatria","Actas Esp. Psiquiatr."
"Actas Luso-Espanolas de Neurologia y Psiquiatria","Actas Luso. Esp. Neurol. Psiquiatr."
"Actas Luso-Espanolas de Neurologia, Psiquiatria y Ciencias Afines","Actas Luso. Esp. Neurol. Psiquiatr. Cienc. Afines"
"Actas Urologicas Espanolas","Actas Urol. Esp."
"Activitas Nervosa Superior","Act. Nerv. Super. (Praha)"
"Actualidad Pediatrica","Actual. Pediatr. (Granada)"
"Actualites Cardiologiques et Angeiologiques Internationales","Actual. Cardiol. Angeiol. Int. (Paris)"
"Actualites de Physiologie Pathologique","Actual. Physiol. Pathol. (Paris)"
"Actualites Endocrinologiques","Actual. Endocrinol. (Paris)"
"Actualites Hepato-Gastro-Enterologiques","Actual. Hepatogastroenterol. (Paris)"
"Actualites Neurophysiologiques","Actual. Neurophysiol. (Paris)"
"Actualites Odonto-Stomatologiques","Actual. Odontostomatol. (Paris)"
"Actualites Pharmacologiques","Actual. Pharmacol. (Paris)"
"Acupuncture and Electro-Therapeutics Research","Acupunct. Electrother. Res."
"Acute Cardiac Care","Acute Card. Care"
"Acute Care","Acute Care"
"AD Nurse","AD Nurse"
"ADA News","ADA News"
"Addiction","Addiction"
"Addiction Biology","Addict. Biol."
"Addictive Behaviors","Addict. Behav."
"Addictive Diseases","Addict. Dis."
"Additamenta ad Folia Medica Neerlandica","Additamenta Folia Med. Neerl."
"ADM","ADM"
"Administration and Policy in Mental Health","Adm. Policy Ment. Health"
"Administration in Mental Health","Adm. Ment. Health"
"Administration in Social Work","Adm. Soc. Work"
"Administrative Management","Adm. Manage."
"Administrative Radiology","Adm. Radiol."
"Administrative Radiology Journal","Adm. Radiol. J."
"Administrative Science Quarterly","Adm. Sci. Q."
"Admitting Management Journal","Admit. Manage. J."
"Adolescence","Adolescence"
"Adolescent Medicine","Adolesc. Med."
"Adolescent Medicine Clinics","Adolesc. Med. Clin."
"Adolescent Psychiatry","Adolesc. Psychiatry"
"Adsorption","Adsorption"
"Adsorption Science & Technology","Adsorpt. Sci. Technol."
"Adult Education","Adult Educ."
"Advance Data","Adv. Data"
"Advance for Nurse Practitioners","Adv. Nurse Pract."
"Advanced Drug Delivery Reviews","Adv. Drug Delivery Rev."
"Advanced Electronic Materials","Adv. Electron. Mater."
"Advanced Energy Materials","Adv. Energy Mater."
"Advanced Functional Materials","Adv. Funct. Mater."
"Advanced Healthcare Materials","Adv. Healthcare Mater."
"Advanced Materials","Adv. Mater."
"Advanced Materials (Weinheim, Germany)","Adv. Mater. (Weinheim, Ger.)"
"Advanced Optical Materials","Adv. Opt. Mater."
"Advanced Practice Nursing Quarterly","Adv. Pract. Nurs. Q."
"Advanced Synthesis & Catalysis","Adv. Synth. Catal."
"Advancement of Science","Adv. Sci."
"Advances and Technical Standards in Neurosurgery","Adv. Tech. Stand. Neurosurg."
"Advances in Alcohol and Substance Abuse","Adv. Alcohol Subst. Abuse"
"Advances in Anatomic Pathology","Adv. Anat. Pathol."
"Advances in Anatomy, Embryology and Cell Biology","Adv. Anat. Embryol. Cell Biol."
"Advances in Applied Ceramics","Adv. Appl. Ceram."
"Advances in Applied Microbiology","Adv. Appl. Microbiol."
"Advances in Behavioral Biology","Adv. Behav. Biol."
"Advances in Biochemical Engineering/Biotechnology","Adv. Biochem. Eng. Biotechnol."
"Advances in Biochemical Psychopharmacology","Adv. Biochem. Psychopharmacol."
"Advances in Biological and Medical Physics","Adv. Biol. Med. Phys."
"Advances in Biology of Skin","Adv. Biol. Skin"
"Advances in Biomedical Engineering and Medical Physics","Adv. Biomed. Eng. Med. Phys."
"Advances in Biophysics","Adv. Biophys."
"Advances in Biotechnological Processes","Adv. Biotechnol. Processes"
"Advances in Cancer Research","Adv. Cancer Res."
"Advances in Carbohydrate Chemistry and Biochemistry","Adv. Carbohydr. Chem. Biochem."
"Advances in Cardiac Surgery","Adv. Card. Surg."
"Advances in Cardiology","Adv. Cardiol."
"Advances in Cardiopulmonary Diseases","Adv. Cardiopulm. Dis."
"Advances in Cell Biology","Adv. Cell Biol."
"Advances in Chemical Physics","Adv. Chem. Phys."
"Advances in Chemotherapy","Adv. Chemother."
"Advances in Child Development and Behavior","Adv. Child Dev. Behav."
"Advances in Chromatography","Adv. Chromatogr."
"Advances in Chromatography (Boca Raton, FL, United States)","Adv. Chromatogr. (Boca Raton, FL, U. S.)"
"Advances in Chronic Kidney Disease","Adv. Chronic Kidney Dis."
"Advances in Clinical Chemistry","Adv. Clin. Chem."
"Advances in Clinical Pathology","Adv. Clin. Path."
"Advances in Clinical Pharmacology","Adv. Clin. Pharmacol."
"Advances in Clinical Rehabilitation","Adv. Clin. Rehabil."
"Advances in Colloid and Interface Science","Adv. Colloid Interface Sci."
"Advances in Comparative Physiology and Biochemistry","Adv. Comp. Physiol. Biochem."
"Advances in Contraception","Adv. Contracept."
"Advances in Cyclic Nucleotide and Protein Phosphorylation Research","Adv. Cyclic Nucleotide Protein Phosphorylation Res."
"Advances in Cyclic Nucleotide Research","Adv. Cyclic Nucleotide Res."
"Advances in Cytopharmacology","Adv. Cytopharmacol."
"Advances in Dental Research","Adv. Dent. Res."
"Advances in Dermatology","Adv. Dermatol."
"Advances in Drug Research","Adv. Drug Res."
"Advances in Electrochemical Science and Engineering","Adv. Electrochem. Sci. Eng."
"Advances in Endocrinology and Metabolism","Adv. Endocrinol. Metab."
"Advances in Enzyme Regulation","Adv. Enzyme Regul."
"Advances in Enzyme Research","Adv. Enzyme Res."
"Advances in Enzymology and Related Areas of Molecular Biology","Adv. Enzymol. Relat. Areas Mol. Biol."
"Advances in Experimental Medicine and Biology","Adv. Exp. Med. Biol."
"Advances in Fluorine Research and Dental Caries Prevention","Adv. Fluorine Res."
"Advances in Food and Nutrition Research","Adv. Food Nutr. Res."
"Advances in Food Research","Adv. Food Res."
"Advances in Food Research. Supplement","Adv. Food Res. Suppl."
"Advances in Genetics","Adv. Genet."
"Advances in Gerontological Research","Adv. Gerontol. Res."
"Advances in Health Economics and Health Services Research","Adv. Health Econ. Health Serv. Res."
"Advances in Health Economics and Health Services Research. Supplement","Adv. Health Econ. Health Serv. Res. Suppl."
"Advances in Health Sciences Education Theory and Practice","Adv. Health Sci. Educ. Theory Pract."
"Advances in Heterocyclic Chemistry","Adv. Heterocycl. Chem."
"Advances in Human Genetics","Adv. Hum. Genet."
"Advances in Immunity and Cancer Therapy","Adv. Immun. Cancer Ther."
"Advances in Immunology","Adv. Immunol."
"Advances in Inorganic Biochemistry","Adv. Inorg. Biochem."
"Advances in Inorganic Chemistry","Adv. Inorg. Chem."
"Advances in Internal Medicine","Adv. Intern. Med."
"Advances in Lipid Research","Adv. Lipid Res."
"Advances in Medical Sciences","Adv. Med. Sci."
"Advances in Metabolic Disorders","Adv. Metab. Disord."
"Advances in Microbial Physiology","Adv. Microb. Physiol."
"Advances in Mind-Body Medicine","Adv. Mind Body Med."
"Advances in Morphogenesis","Adv. Morphog."
"Advances in Myocardiology","Adv. Myocardiol."
"Advances in Neonatal Care","Adv. Neonatal Care"
"Advances in Nephrology from the Necker Hospital","Adv. Nephrol. Necker Hosp."
"Advances in Neuroimmunology","Adv. Neuroimmunol."
"Advances in Neurology","Adv. Neurol."
"Advances in Nutritional Research","Adv. Nutr. Res."
"Advances in Ophthalmic, Plastic, and Reconstructive Surgery","Adv. Ophthalmic. Plast. Reconstr. Surg."
"Advances in Ophthalmology","Adv. Ophthalmol."
"Advances in Oral Biology","Adv. Oral Biol."
"Advances in Oto-Rhino-Laryngology","Adv. Otorhinolaryngol."
"Advances in Parasitology","Adv. Parasitol."
